compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
bupivacaine	0.12 uM	4	G11	0.0151670448883156	0.313	Cell Painting
bupropion	0.12 uM	5	F05	0.0355762317574674	0.052	Cell Painting
buspirone	0.12 uM	5	L05	0.0262092587699752	0.174	Cell Painting
butoconazole	0.12 uM	5	E23	0.133149343917126	0.001	Cell Painting
butorphanol-(+)-tartrate	0.12 uM	2	L17	0.0240768057875817	0.346	Cell Painting
bvd-523	0.12 uM	5	D17	0.0674141876821675	0	Cell Painting
cabazitaxel	0.12 uM	5	J23	0.5131889327154986	0	Cell Painting
cabergoline	0.12 uM	5	P23	0.5769005365961812	0.014	Cell Painting
cabozantinib	0.12 uM	5	C05	0.0640440594663924	0	Cell Painting
caffeine	0.12 uM	4	L11	-0.0320635057402165	0.966	Cell Painting
calcitriol	0.12 uM	5	I17	0.0644582275680336	0.003	Cell Painting
camicinal	0.12 uM	5	M11	0.0525547898493507	0.002	Cell Painting
camptothecin	0.12 uM	2	D11	0.2931174618812237	0	Cell Painting
canagliflozin	0.12 uM	5	M11	0.0225977405602368	0.153	Cell Painting
candesartan	0.12 uM	5	I23	0.0536594599812825	0.048	Cell Painting
canertinib	0.12 uM	5	B11	0.1923519073519726	0	Cell Painting
canrenoic-acid	0.12 uM	5	L17	0.0043577997784388	0.602	Cell Painting
capecitabine	0.12 uM	5	K17	0.0082523073401236	0.429	Cell Painting
capsaicin	0.12 uM	5	P17	0.0707034395208046	0.005	Cell Painting
carbachol	0.12 uM	5	E17	0.0108869413351116	0.573	Cell Painting
carbamazepine	0.12 uM	5	N05	0.0264445688727371	0.252	Cell Painting
carbenoxolone	0.12 uM	5	F05	0.0632940018282176	0.002	Cell Painting
carbimazole	0.12 uM	5	E05	0.0205118996222206	0.218	Cell Painting
carglumic-acid	0.12 uM	5	N23	0.1145153777703246	0	Cell Painting
cariprazine	0.12 uM	5	J23	0.0729093791696982	0.007	Cell Painting
carisoprodol	0.12 uM	5	N23	0.0632563500171625	0.055	Cell Painting
carprofen	0.12 uM	5	I17	0.1108435744044032	0	Cell Painting
carvedilol	0.12 uM	5	N11	0.0108067477688953	0.443	Cell Painting
cb-10-277-(free-acid)	0.12 uM	5	N11	0.0445340882029169	0.013	Cell Painting
cc-401	0.12 uM	5	D23	0.0358253126206433	0.267	Cell Painting
cc-930	0.12 uM	5	J05	0.4999670586633736	0	Cell Painting
cediranib	0.12 uM	5	F23	0.0561587410918373	0.042	Cell Painting
cefdinir	0.12 uM	5	B17	0.0679706181291826	0.003	Cell Painting
cefepime	0.12 uM	5	A17	0.093100870775887	0.011	Cell Painting
cefoperazone	0.12 uM	4	I23	0.0538242541706623	0.068	Cell Painting
cefotetan	0.12 uM	5	N23	0.0804824560461329	0.006	Cell Painting
cefozopran	0.12 uM	5	L23	0.025151489812458398	0.553	Cell Painting
celecoxib	0.12 uM	4	L17	0.016324636184178	0.323	Cell Painting
cep-37440	0.12 uM	5	O11	0.0310459157235373	0.102	Cell Painting
cepharanthine	0.12 uM	5	D23	0.0470600169400227	0.111	Cell Painting
cgp12177	0.12 uM	2	H05	0.0532463771918073	0.184	Cell Painting
chlorambucil	0.12 uM	5	D23	0.0401269338795103	0.199	Cell Painting
chlormezanone	0.12 uM	5	O23	0.0222089131339658	0.644	Cell Painting
chloroxine	0.12 uM	5	I11	0.0206268452040106	0.145	Cell Painting
chlorphenamine	0.12 uM	5	D05	0.0208184275193347	0.206	Cell Painting
chlorpromazine	0.12 uM	5	G11	-0.0051499494298311	0.752	Cell Painting
chlorpropamide	0.12 uM	5	A17	0.206453346869169	0	Cell Painting
chlortalidone	0.12 uM	5	O11	0.0494191577130705	0.01	Cell Painting
cholic-acid	0.12 uM	2	M17	-0.0081739114058075	0.69	Cell Painting
choline-alfoscerate	0.12 uM	5	J23	0.0889680081252858	0.001	Cell Painting
cianidanol	0.12 uM	5	J11	0.0086200972111664	0.353	Cell Painting
ciclesonide	0.12 uM	5	M05	0.5226520398105303	0	Cell Painting
ciglitazone	0.12 uM	5	D17	0.0333607140524718	0.105	Cell Painting
cilengitide	0.12 uM	5	C17	0.0882867680089095	0	Cell Painting
cilomilast	0.12 uM	2	F05	0.0110701485437655	0.451	Cell Painting
cilostazol	0.12 uM	5	L17	0.1223084162004778	0	Cell Painting
cimetidine	0.12 uM	5	O17	0.0628461699367417	0.002	Cell Painting
cinaciguat	0.12 uM	5	P23	0.5228638260747172	0.054	Cell Painting
cinepazide	0.12 uM	5	L17	0.2405841320446307	0	Cell Painting
cinnarizine	0.12 uM	5	N05	0.0389174274165071	0.098	Cell Painting
cinoxacin	0.12 uM	5	K17	0.0545536366593169	0.004	Cell Painting
ciprofloxacin	0.12 uM	5	C17	0.0283083618034438	0.273	Cell Painting
cisapride	0.12 uM	5	F05	0.1043562172728783	0	Cell Painting
citalopram	0.12 uM	5	C17	0.0386113159935039	0.116	Cell Painting
cladribine	0.12 uM	5	K05	0.1588200602144164	0	Cell Painting
clarithromycin	0.12 uM	5	H11	0.0567343311418971	0	Cell Painting
clenbuterol	0.12 uM	5	H05	0.0644190921068496	0	Cell Painting
climbazole	0.12 uM	5	A11	0.1354761371804643	0	Cell Painting
clinafloxacin	0.12 uM	5	G11	0.0181306816954088	0.207	Cell Painting
clindamycin	0.12 uM	5	F05	0.0166944683851725	0.278	Cell Painting
clinofibrate	0.12 uM	5	G23	0.0223042320221751	0.575	Cell Painting
clioquinol	0.12 uM	5	H05	0.0315114466406723	0.113	Cell Painting
clobetasol	0.12 uM	5	D17	0.5110103920645064	0	Cell Painting
clofarabine	0.12 uM	5	I23	0.4827130110153923	0	Cell Painting
clofazimine	0.12 uM	5	D05	-0.0062686542112262	0.77	Cell Painting
clofibric-acid	0.12 uM	5	A23	0.0701065759605817	0.01	Cell Painting
clofoctol	0.12 uM	4	L23	0.0947520018799496	0.011	Cell Painting
clomethiazole	0.12 uM	5	O11	0.0414087795848674	0.031	Cell Painting
clomifene	0.12 uM	5	E23	0.0512055022842758	0.155	Cell Painting
clonazepam	0.12 uM	2	D23	0.0062728533302185	0.648	Cell Painting
clonidine	0.12 uM	5	B23	0.1258284147170053	0.004	Cell Painting
clotrimazole	0.12 uM	5	B23	0.0736313006743236	0.029	Cell Painting
clozapine	0.12 uM	2	A11	-0.0143164975101267	0.762	Cell Painting
co-102862	0.12 uM	5	H17	0.0099266051995616	0.328	Cell Painting
cobimetinib	0.12 uM	4	O23	0.131193082872312	0	Cell Painting
colchicine	0.12 uM	4	A23	0.5432716623919058	0	Cell Painting
colforsin-daproate	0.12 uM	5	D05	0.0672661974777187	0	Cell Painting
combretastatin-a-4	0.12 uM	5	O11	0.6160353304862698	0	Cell Painting
conivaptan	0.12 uM	2	A17	-0.0234813840659356	0.818	Cell Painting
cordycepin	0.12 uM	5	L11	0.0307458319458685	0.039	Cell Painting
cp-945,598	0.12 uM	5	F23	0.031726637762431	0.32	Cell Painting
cpi-1189	0.12 uM	5	N17	0.0309384570210212	0.071	Cell Painting
cpi-613	0.12 uM	5	K17	0.0149149064992778	0.259	Cell Painting
cromoglicic-acid	0.12 uM	5	L17	0.0621253498053668	0.007	Cell Painting
ct-7758	0.12 uM	5	P11	0.1427339135576293	0	Cell Painting
cts-1027	0.12 uM	5	P23	0.2824931193555492	0.65	Cell Painting
curcumin	0.12 uM	5	N17	0.0162444794708461	0.306	Cell Painting
cx-4945	0.12 uM	5	C11	0.0267973092433208	0.119	Cell Painting
cx-5461	0.12 uM	5	D17	0.5425847189546543	0	Cell Painting
cx516	0.12 uM	5	B11	-0.0033372980180488	0.809	Cell Painting
cyanocobalamin	0.12 uM	5	P23	0.4689385158382898	0.113	Cell Painting
cyclizine	0.12 uM	5	P11	0.0205689470294013	0.706	Cell Painting
cyclobenzaprine	0.12 uM	2	L11	-0.0389172001856873	0.865	Cell Painting
cyclosporin-a	0.12 uM	5	N05	0.3783993813500472	0	Cell Painting
cyproheptadine	0.12 uM	5	H17	0.0233185143178775	0.093	Cell Painting
cyproterone-acetate	0.12 uM	5	H11	0.0629963755350257	0	Cell Painting
cytarabine	0.12 uM	5	M11	0.0169077762569813	0.264	Cell Painting
cytisine	0.12 uM	5	A11	0.0677049412774822	0.01	Cell Painting
d-serine	0.12 uM	5	M11	0.0248088482293489	0.122	Cell Painting
dabigatran-etexilate	0.12 uM	5	F17	0.0335115428906066	0.073	Cell Painting
dabrafenib	0.12 uM	5	I23	0.211756631475203	0	Cell Painting
dacarbazine	0.12 uM	5	N05	0.0587407952664264	0.007	Cell Painting
dacinostat	0.12 uM	5	E17	0.6087565101192778	0	Cell Painting
dacomitinib	0.12 uM	5	F23	0.1705605325007472	0	Cell Painting
danazol	0.12 uM	5	A23	0.1592156121711409	0	Cell Painting
danegaptide	0.12 uM	5	N11	-0.0051526087821245	0.805	Cell Painting
dantrolene	0.12 uM	5	C05	0.037735420776623	0.022	Cell Painting
danusertib	0.12 uM	5	A11	0.3020234984988121	0	Cell Painting
dapagliflozin	0.12 uM	5	F17	0.0458458410288451	0.015	Cell Painting
dapivirine	0.12 uM	5	E05	0.1421421448943416	0	Cell Painting
dapsone	0.12 uM	5	F05	0.0363988054796488	0.051	Cell Painting
darifenacin	0.12 uM	5	F23	0.0790786897648597	0.004	Cell Painting
darunavir	0.12 uM	5	D17	0.0217773678259622	0.261	Cell Painting
dasabuvir	0.12 uM	4	M05	0.045564021646628	0.145	Cell Painting
dasatinib	0.12 uM	5	L17	0.5787191136793901	0	Cell Painting
dazoxiben	0.12 uM	5	G05	0.0281591779893145	0.164	Cell Painting
decitabine	0.12 uM	5	B23	0.2740804729449529	0	Cell Painting
defactinib	0.12 uM	2	N23	0.0336438961070643	0.48	Cell Painting
deferasirox	0.12 uM	5	M23	0.2158021881463959	0.24	Cell Painting
deferiprone	0.12 uM	5	K05	0.0722053338847227	0	Cell Painting
deforolimus	0.12 uM	5	E23	0.5416811709525795	0	Cell Painting
dehydroepiandrosterone	0.12 uM	5	E11	-1.211608353443e-4	0.712	Cell Painting
delanzomib	0.12 uM	5	L05	0.7832429614574866	0	Cell Painting
delivert	0.12 uM	5	D17	0.0507717136338839	0.017	Cell Painting
deoxycholic-acid	0.12 uM	5	P05	0.0599139164139237	0.014	Cell Painting
dequalinium	0.12 uM	5	M05	0.1355036406905633	0	Cell Painting
desmopressin-acetate	0.12 uM	5	L23	0.1334571256745417	0.001	Cell Painting
dexamethasone	0.12 uM	5	F05	0.3645849076393694	0	Cell Painting
dexamethasone	0.12 uM	5	N05	0.3645849076393694	0	Cell Painting
dexfenfluramine	0.12 uM	5	I11	0.0264234460962707	0.078	Cell Painting
dexloxiglumide	0.12 uM	5	P05	0.0507084881275519	0.043	Cell Painting
dexniguldipine	0.12 uM	2	O23	-0.0299775945129899	0.92	Cell Painting
dextromethorphan	0.12 uM	5	G11	0.0219952499647898	0.15	Cell Painting
diacerein	0.12 uM	5	F23	0.0359552128906349	0.233	Cell Painting
diazepam	0.12 uM	5	E17	0.0520218998456152	0.013	Cell Painting
diazoxide	0.12 uM	5	P23	0.5271522109588659	0.045	Cell Painting
diclofenac	0.12 uM	5	C11	0.0430479535369565	0.016	Cell Painting
diclofensine	0.12 uM	5	M17	0.0375116418996774	0.037	Cell Painting
dicloxacillin	0.12 uM	5	H05	0.0643454949392719	0	Cell Painting
dicoumarol	0.12 uM	5	G23	0.0952010126701754	0	Cell Painting
dideoxyadenosine	0.12 uM	5	K17	0.0346786109189813	0.034	Cell Painting
dienogest	0.12 uM	5	J05	0.054490925283544	0.006	Cell Painting
diethylcarbamazine	0.12 uM	5	C11	0.0485529882093045	0.008	Cell Painting
diethylstilbestrol	0.12 uM	5	C17	0.0160334573737369	0.548	Cell Painting
diflunisal	0.12 uM	5	G11	0.038373598780441	0.014	Cell Painting
dihydroergocristine	0.12 uM	5	O17	0.0625852092692014	0.002	Cell Painting
dihydroergotamine	0.12 uM	5	N23	0.0599931650657826	0.067	Cell Painting
dilazep	0.12 uM	5	N23	0.1832654138065151	0	Cell Painting
diltiazem	0.12 uM	5	F17	0.0501601131207918	0.006	Cell Painting
dimesna	0.12 uM	5	O11	0.0340403361780085	0.071	Cell Painting
dimethyl-fumarate	0.12 uM	5	A11	0.0531912954342137	0.035	Cell Painting
diminazene-aceturate	0.12 uM	5	C11	0.0033053093256318	0.623	Cell Painting
dinaciclib	0.12 uM	5	J05	0.7250331578012366	0	Cell Painting
dinoprost	0.12 uM	5	A11	0.0711458409765815	0.007	Cell Painting
diosmin	0.12 uM	5	E17	0.0424365449891945	0.038	Cell Painting
diphenidol	0.12 uM	4	H11	-0.0117649077878015	0.775	Cell Painting
dipraglurant	0.12 uM	5	I17	0.0492094813844375	0.03	Cell Painting
dipyridamole	0.12 uM	5	P17	0.0518152372825277	0.037	Cell Painting
disopyramide	0.12 uM	5	M23	0.1013848458993913	0.721	Cell Painting
disulfiram	0.12 uM	5	E23	0.3114005298962845	0	Cell Painting
dmp-777	0.12 uM	5	L11	0.0056129595997449	0.46	Cell Painting
docetaxel	0.12 uM	5	H17	0.6947007342596629	0	Cell Painting
dofequidar	0.12 uM	5	N05	0.0482166943042559	0.033	Cell Painting
dolutegravir	0.12 uM	5	P11	0.0681807362710236	0.022	Cell Painting
donepezil	0.12 uM	5	L11	0.0687392897866594	0	Cell Painting
donitriptan	0.12 uM	5	I17	0.0747506037974826	0	Cell Painting
dopamine	0.12 uM	2	O11	0.0600399169402555	0.117	Cell Painting
doramapimod	0.12 uM	5	C05	0.0623077132894636	0	Cell Painting
dorzolamide	0.12 uM	5	K17	0.0067422627064152	0.463	Cell Painting
doxapram	0.12 uM	5	F05	0.0536132076037532	0.006	Cell Painting
doxazosin	0.12 uM	5	H11	0.0224421936975432	0.112	Cell Painting
doxepin	0.12 uM	5	N05	0.0437227891446388	0.061	Cell Painting
doxifluridine	0.12 uM	5	H23	0.0546129777435288	0.048	Cell Painting
doxofylline	0.12 uM	5	J11	0.0159868092638289	0.208	Cell Painting
doxorubicin	0.12 uM	5	L23	0.6203387476124327	0	Cell Painting
doxycycline-hyclate	0.12 uM	5	D11	0.0541965966453502	0	Cell Painting
dpcpx	0.12 uM	4	I05	0.0270941129589365	0.19	Cell Painting
dpi-201106	0.12 uM	5	H23	0.0473758942761991	0.111	Cell Painting
dronedarone	0.12 uM	5	G05	0.0014624169290038	0.748	Cell Painting
droperidol	0.12 uM	5	J05	0.0531826389929226	0.006	Cell Painting
drospirenone	0.12 uM	4	E11	-0.0401381602218574	0.996	Cell Painting
du-728	0.12 uM	5	E11	0.0387501224475229	0.039	Cell Painting
duloxetine	0.12 uM	5	L17	0.0168794924099516	0.297	Cell Painting
dutasteride	0.12 uM	5	L05	0.0553537077985262	0.004	Cell Painting
e-2012	0.12 uM	5	O17	0.0039148390651573	0.685	Cell Painting
ebselen	0.12 uM	5	L23	0.0537928962172271	0.091	Cell Painting
econazole	0.12 uM	5	D17	0.1014587582003765	0	Cell Painting
edoxaban	0.12 uM	5	K23	0.1293309806153609	0.028	Cell Painting
edoxudine	0.12 uM	5	E23	0.0646929565691737	0.064	Cell Painting
efaproxiral	0.12 uM	2	B11	0.0309622822553433	0.3	Cell Painting
efavirenz	0.12 uM	2	G23	0.0041595862916975	0.718	Cell Painting
eflornithine	0.12 uM	5	L23	0.0586120593242139	0.068	Cell Painting
elesclomol	0.12 uM	5	O17	0.3181021738591832	0	Cell Painting
ellagic-acid	0.12 uM	5	P17	0.084355179484787	0.002	Cell Painting
emd-1214063	0.12 uM	5	P11	0.0707864023759443	0.014	Cell Painting
emd-53998	0.12 uM	5	L05	0.0111963998137255	0.508	Cell Painting
emedastine	0.12 uM	5	M17	0.0375161878756826	0.037	Cell Painting
emtricitabine	0.12 uM	5	O23	0.0936866036877769	0.002	Cell Painting
enalapril	0.12 uM	5	H05	0.0385020416841642	0.054	Cell Painting
enoxacin	0.12 uM	5	L23	0.0585217013602829	0.068	Cell Painting
entecavir	0.12 uM	5	C05	0.0360694478503725	0.025	Cell Painting
entinostat	0.12 uM	5	A23	0.1753380017351285	0	Cell Painting
enzalutamide	0.12 uM	5	I23	0.1116506075863529	0	Cell Painting
enzastaurin	0.12 uM	5	P05	0.0155274329346397	0.587	Cell Painting
eperezolid	0.12 uM	5	H11	0.0588251873706962	0	Cell Painting
epinastine	0.12 uM	5	M11	0.0771581706809758	0	Cell Painting
epinephrine	0.12 uM	5	E05	0.0320430117632788	0.068	Cell Painting
epirizole	0.12 uM	2	E23	0.0133247569964997	0.654	Cell Painting
epirubicin	0.12 uM	5	E11	0.7621059824872851	0	Cell Painting
epitiostanol	0.12 uM	4	J23	0.259062969008178	0	Cell Painting
epothilone-b	0.12 uM	5	C11	0.6060689633889433	0	Cell Painting
equol	0.12 uM	5	L05	0.0850077350346295	0	Cell Painting
ercalcitriol	0.12 uM	5	J23	0.081613227406603	0.002	Cell Painting
erlotinib	0.12 uM	5	G05	0.21114329805156	0	Cell Painting
erteberel	0.12 uM	5	B23	0.3067188422974036	0	Cell Painting
erythromycin	0.12 uM	5	G11	3.420561615185e-4	0.631	Cell Painting
erythromycin	0.12 uM	5	C11	3.420561615185e-4	0.684	Cell Painting
escitalopram	0.12 uM	5	H23	0.0477438389606847	0.104	Cell Painting
esmolol	0.12 uM	5	M17	0.0164248890113377	0.303	Cell Painting
estramustine	0.12 uM	5	H11	0.0438930321073934	0.004	Cell Painting
estramustine-phosphate	0.12 uM	4	A11	0.0787727407970242	0.008	Cell Painting
estriol	0.12 uM	5	P17	0.0716691534155044	0.005	Cell Painting
estrone	0.12 uM	2	C17	0.0656165903155914	0.174	Cell Painting
etacrynic-acid	0.12 uM	5	H11	0.0246157260449087	0.095	Cell Painting
etanidazole	0.12 uM	5	K17	0.063537289260798	0	Cell Painting
etazolate	0.12 uM	5	J05	0.0544124164420521	0.006	Cell Painting
ethinyl-estradiol	0.12 uM	4	K05	0.0368368019620727	0.12	Cell Painting
ethylenediaminetetraacetic-acid	0.12 uM	5	B11	0.1605123009742337	0	Cell Painting
etizolam	0.12 uM	5	D11	0.0228286840273898	0.107	Cell Painting
etodolac	0.12 uM	5	J05	0.1163769773962758	0	Cell Painting
etofylline-clofibrate	0.12 uM	5	N17	0.0257861132717679	0.146	Cell Painting
etomidate	0.12 uM	5	O17	0.0387075240994418	0.059	Cell Painting
etomoxir	0.12 uM	5	E17	0.0556938346986465	0.007	Cell Painting
etoposide	0.12 uM	5	P23	0.5509099126291511	0.025	Cell Painting
etoricoxib	0.12 uM	5	K05	0.0248881667552922	0.229	Cell Painting
etravirine	0.12 uM	5	I11	0.0516922731383475	0.001	Cell Painting
eugenol	0.12 uM	5	M05	0.0180624238532802	0.489	Cell Painting
everolimus	0.12 uM	5	H05	0.580151007033567	0	Cell Painting
evp-6124	0.12 uM	5	M05	0.033373567882241	0.2	Cell Painting
exalamide	0.12 uM	5	C11	0.089208946233321	0	Cell Painting
exemestane	0.12 uM	5	A23	0.1105814813754726	0	Cell Painting
exherin	0.12 uM	5	H17	0.0197178381673431	0.136	Cell Painting
fadrozole	0.12 uM	5	N17	0.0042206085917054	0.604	Cell Painting
famciclovir	0.12 uM	5	B23	0.3596240303799733	0	Cell Painting
famotidine	0.12 uM	4	D23	0.0393958504654468	0.245	Cell Painting
faropenem	0.12 uM	5	M05	0.1610659805616547	0	Cell Painting
fasudil	0.12 uM	5	L05	0.0673888535481718	0.001	Cell Painting
favipiravir	0.12 uM	5	B23	0.0791970657711539	0.023	Cell Painting
fdcyd	0.12 uM	5	P05	0.7380297001704688	0	Cell Painting
febuxostat	0.12 uM	5	I17	0.0460435278412456	0.041	Cell Painting
felbinac	0.12 uM	5	P17	0.023653645489276	0.414	Cell Painting
felodipine	0.12 uM	5	G11	0.0117052824085835	0.35	Cell Painting
fenobam	0.12 uM	5	O17	0.0298543153549066	0.147	Cell Painting
fenoterol	0.12 uM	5	I05	0.0250314243994377	0.188	Cell Painting
fenticonazole	0.12 uM	5	N23	0.0555873041301205	0.119	Cell Painting
fexofenadine	0.12 uM	5	L11	0.0213560661733739	0.131	Cell Painting
fiacitabine	0.12 uM	5	L23	0.0869335729290604	0.007	Cell Painting
fidarestat	0.12 uM	5	G11	0.0161485104850877	0.245	Cell Painting
fidaxomicin	0.12 uM	5	D17	0.0648590358459799	0.002	Cell Painting
filgotinib	0.12 uM	5	H17	0.0545887867827381	0.002	Cell Painting
finasteride	0.12 uM	5	A17	0.0900464106499856	0.011	Cell Painting
fipronil	0.12 uM	5	O23	0.0403186870515239	0.265	Cell Painting
firategrast	0.12 uM	5	L05	0.0541907531621512	0.005	Cell Painting
flavoxate	0.12 uM	5	H17	0.0069233170357664	0.399	Cell Painting
flecainide	0.12 uM	5	I05	0.0408836052500151	0.029	Cell Painting
floxuridine	0.12 uM	5	P17	0.765446973432748	0	Cell Painting
fluconazole	0.12 uM	5	G23	0.0890306018359155	0	Cell Painting
fludarabine-phosphate	0.12 uM	5	K23	0.12438460276487	0.031	Cell Painting
fludroxycortide	0.12 uM	5	N11	0.5193133838531406	0	Cell Painting
flumatinib	0.12 uM	5	F05	0.0996084110059833	0	Cell Painting
flumazenil	0.12 uM	5	M05	0.0379148669274388	0.148	Cell Painting
fluocinonide	0.12 uM	5	P11	0.6134622043668227	0	Cell Painting
fluorometholone	0.12 uM	5	G05	0.69686636377857325	0	Cell Painting
fluorouracil	0.12 uM	5	J23	0.0968154321261665	0	Cell Painting
fluoxetine	0.12 uM	5	A17	0.0542673150935827	0.073	Cell Painting
fluphenazine	0.12 uM	5	K23	0.0892621182665114	0.063	Cell Painting
fluspirilene	0.12 uM	5	L11	0.0514999604471015	0.002	Cell Painting
flutamide	0.12 uM	5	A23	0.0151196885834394	0.724	Cell Painting
fluticasone	0.12 uM	5	B23	0.4236991132576748	0	Cell Painting
flutrimazole	0.12 uM	4	B17	0.1023585060904699	0	Cell Painting
fluvoxamine	0.12 uM	5	H17	5.279298733481e-4	0.562	Cell Painting
folic-acid	0.12 uM	5	O23	0.0863416729713911	0.008	Cell Painting
fomepizole	0.12 uM	5	F05	0.0304140657672114	0.096	Cell Painting
fomocaine	0.12 uM	5	B17	0.0356230144914987	0.111	Cell Painting
foretinib	0.12 uM	4	P23	0.6504730775788421	0.003	Cell Painting
formestane	0.12 uM	5	O17	0.2112062246686187	0	Cell Painting
formoterol	0.12 uM	5	I17	0.0099134098468474	0.612	Cell Painting
forskolin	0.12 uM	5	J11	0.0344492912726418	0.036	Cell Painting
fosfomycin	0.12 uM	5	I23	0.0888004029572983	0	Cell Painting
fostamatinib	0.12 uM	5	D23	0.0778833166696048	0.004	Cell Painting
fpl-62064	0.12 uM	5	M11	0.1114501679256554	0	Cell Painting
ftorafur	0.12 uM	5	O11	0.0321701341117198	0.092	Cell Painting
fulvestrant	0.12 uM	4	O11	0.0777446827881332	0.002	Cell Painting
fusidic-acid	0.12 uM	5	L17	0.0347254618492191	0.075	Cell Painting
gabapentin	0.12 uM	5	M23	0.5100213348419831	0	Cell Painting
galeterone	0.12 uM	5	A17	0.0294939558118555	0.319	Cell Painting
ganaxolone	0.12 uM	5	H23	0.0303452656561659	0.396	Cell Painting
gatifloxacin	0.12 uM	5	B11	0.0348690213152244	0.059	Cell Painting
gdc-0068	0.12 uM	5	I11	0.0280929081481829	0.065	Cell Painting
gdc-0152	0.12 uM	5	M05	0.2282680638542239	0	Cell Painting
gdc-0199	0.12 uM	5	G05	0.0571851309630494	0.004	Cell Painting
gdc-0834	0.12 uM	5	H11	0.0291414272815983	0.059	Cell Painting
gefitinib	0.12 uM	5	H17	0.0431865569097288	0.01	Cell Painting
gemcitabine	0.12 uM	5	N17	0.6487812071330392	0	Cell Painting
gemfibrozil	0.12 uM	5	M23	0.1136129489208281	0.67	Cell Painting
gemifloxacin	0.12 uM	2	H23	-0.0327995094946664	0.923	Cell Painting
genz-644282	0.12 uM	5	E05	0.6918917269296354	0	Cell Painting
gestrinone	0.12 uM	5	P17	0.1882024623328319	0	Cell Painting
gimeracil	0.12 uM	5	N17	0.0384940460351142	0.028	Cell Painting
ginkgolide-b	0.12 uM	5	F17	0.0211836990776608	0.247	Cell Painting
glasdegib	0.12 uM	5	L05	0.0432800184480302	0.034	Cell Painting
gliclazide	0.12 uM	5	P05	0.0331430279906807	0.205	Cell Painting
glimepiride	0.12 uM	5	K23	0.0334294694027895	0.59	Cell Painting
glipizide	0.12 uM	5	B17	0.1340257902498891	0	Cell Painting
gliquidone	0.12 uM	5	B17	0.043854369834351	0.049	Cell Painting
glycitein	0.12 uM	5	M17	0.0477653229531261	0.007	Cell Painting
glycopyrrolate	0.12 uM	5	N23	0.1172576442018191	0	Cell Painting
golvatinib	0.12 uM	5	F17	0.0391872700003141	0.042	Cell Painting
goserelin-acetate	0.12 uM	5	L23	0.041561060849867	0.235	Cell Painting
granisetron	0.12 uM	5	M11	0.0158239943550558	0.286	Cell Painting
grazoprevir	0.12 uM	5	N11	0.0284654157431989	0.104	Cell Painting
griseofulvin	0.12 uM	5	C05	0.0351888098674411	0.027	Cell Painting
gsk1292263	0.12 uM	5	G23	0.1059171572465149	0	Cell Painting
gsk2110183	0.12 uM	5	A11	0.0846692022432936	0.003	Cell Painting
gsk256066	0.12 uM	2	B23	-0.0300099315568831	0.917	Cell Painting
gsk2636771	0.12 uM	5	K17	0.0466365385513943	0.009	Cell Painting
guanabenz	0.12 uM	5	E05	0.0352021721079441	0.045	Cell Painting
guanadrel	0.12 uM	5	J23	0.0549903272828832	0.054	Cell Painting
guanethidine	0.12 uM	5	D11	0.0194490079062186	0.151	Cell Painting
gw842166	0.12 uM	5	B11	0.0143789310205926	0.414	Cell Painting
